source_client_name,source_setup,jira_client_name,jira_deploiement_field,match_type
Greg Woods,Mutualised PARTNERS,Greg Woods,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Partners,Mutualised PARTNERS,Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
BISQI - Partners,Mutualised PARTNERS,BISQI - Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Atryon,Mutualised PARTNERS,Atryon,"Mutualisée (Team+, Team, Partners)",fallback_source_name
DIANEGO ON PARTNERS,Mutualised PARTNERS,DIANEGO ON PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Project 7 on Partners,Mutualised PARTNERS,Project 7 on Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
BearingPoint on Partners,Mutualised PARTNERS,BearingPoint on Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
ICAM Strasbourg on Partners,Mutualised PARTNERS,ICAM Strasbourg on Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Musubi Consulting,Mutualised PARTNERS,Musubi Consulting,"Mutualisée (Team+, Team, Partners)",fallback_source_name
LeanCoaching,Mutualised PARTNERS,LeanCoaching,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Ifohra,Mutualised PARTNERS,Ifohra,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Coleg Cambria,Mutualised PARTNERS,Coleg Cambria,"Mutualisée (Team+, Team, Partners)",exact
Macom GmbH,Mutualised PARTNERS,Macom GmbH,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Factories of Future,Mutualised PARTNERS,Factories of Future,"Mutualisée (Team+, Team, Partners)",exact
Stanwick,Mutualised PARTNERS,Stanwick,"Mutualisée (Team+, Team, Partners)",exact
Aptiphar,Mutualised PARTNERS,Aptiphar,"Mutualisée (Team+, Team, Partners)",exact
Aik Lee Solutions,Mutualised PARTNERS,Aik Lee Solutions,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Scaled Agile Inc.,Mutualised PARTNERS,Scaled Agile Inc.,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Kettering University,Mutualised PARTNERS,Kettering University,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Ominlytics,Mutualised PARTNERS,Ominlytics,"Mutualisée (Team+, Team, Partners)",fallback_source_name
AITO LM CONSULTING,Mutualised PARTNERS,AITO LM CONSULTING,"Mutualisée (Team+, Team, Partners)",fallback_source_name
RLG-PartnerPlatform,Mutualised PARTNERS,RLG-PartnerPlatform,"Mutualisée (Team+, Team, Partners)",fallback_source_name
TBMConsulting,Mutualised PARTNERS,TBMConsulting,"Mutualisée (Team+, Team, Partners)",fallback_source_name
INEMA ROUEN,Mutualised PARTNERS,INEMA ROUEN,"Mutualisée (Team+, Team, Partners)",exact
FLOW4U,Mutualised PARTNERS,FLOW4U,"Mutualisée (Team+, Team, Partners)",exact
McEwan Consulting,Mutualised PARTNERS,McEwan Consulting,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Evolve Partners,Mutualised PARTNERS,Evolve Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Tron Consulting,Mutualised PARTNERS,Tron Consulting,"Mutualisée (Team+, Team, Partners)",exact
La Grow BOX,Mutualised PARTNERS,La Grow BOX,"Mutualisée (Team+, Team, Partners)",exact
UPD,Mutualised PARTNERS,UPD,"Mutualisée (Team+, Team, Partners)",fallback_source_name
SmartLeanMFG,Mutualised PARTNERS,SmartLeanMFG,"Mutualisée (Team+, Team, Partners)",fallback_source_name
CONSULT ING,Mutualised PARTNERS,CONSULT ING,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Agile Agilist,Mutualised PARTNERS,Agile Agilist,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Talcott Ridge Consulting,Mutualised PARTNERS,Talcott Ridge Consulting,"Mutualisée (Team+, Team, Partners)",exact
XE PARTNERS,Mutualised PARTNERS,XE PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Obeya Builder,Mutualised PARTNERS,Obeya Builder,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Global Lean Summit,Mutualised PARTNERS,Global Lean Summit,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Lean Sigma Projects LTD,Mutualised PARTNERS,Lean Sigma Projects LTD,"Mutualisée (Team+, Team, Partners)",fallback_source_name
HOSHIN PARTNERS,Mutualised PARTNERS,HOSHIN PARTNERS,"Mutualisée (Team+, Team, Partners)",exact
IBConsultants,Mutualised PARTNERS,IBConsultants,"Mutualisée (Team+, Team, Partners)",fallback_source_name
EMELEAN,Mutualised PARTNERS,EMELEAN,"Mutualisée (Team+, Team, Partners)",exact
LEANXVERSE,Mutualised PARTNERS,LEANXVERSE,"Mutualisée (Team+, Team, Partners)",exact
CIMPA Germany,Mutualised PARTNERS,CIMPA Germany,"Mutualisée (Team+, Team, Partners)",fallback_source_name
FICHLY,Mutualised PARTNERS,Fichly,"Mutualisée (Team+, Team, Partners)",exact
KPC on Partners,Mutualised PARTNERS,KPC on Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
EliteOrga,Mutualised PARTNERS,EliteOrga,"Mutualisée (Team+, Team, Partners)",exact
Alix Partners - Partner Platform,Mutualised PARTNERS,Alix Partners - Partner Platform,"Mutualisée (Team+, Team, Partners)",fallback_source_name
CARTIER HORLOGERIE,Mutualised TEAMPLUS,Cartier Horlogerie,"Mutualisée (Team+, Team, Partners)",exact
Devillé ASC,Mutualised TEAMPLUS,Devillé ASC,"Mutualisée (Team+, Team, Partners)",exact
LBL Brenta,Mutualised TEAMPLUS,LBL Brenta,"Mutualisée (Team+, Team, Partners)",exact
MSA4485,Mutualised TEAMPLUS,MSA4485,"Mutualisée (Team+, Team, Partners)",exact
NV Equipement via POP,Mutualised TEAMPLUS,NV Equipement via POP,"Mutualisée (Team+, Team, Partners)",exact
Sherbourne Recycling Ltd via EMS Cognito,Mutualised TEAMPLUS,Sherbourne Recycling Ltd via EMS Cognito,"Mutualisée (Team+, Team, Partners)",fallback_source_name
BelEnergia via Considi,Mutualised TEAMPLUS,BelEnergia via Considi,"Mutualisée (Team+, Team, Partners)",exact
Rolls Royce via Project 7,Mutualised TEAMPLUS,Rolls Royce (via Project 7),"Mutualisée (Team+, Team, Partners)",exact
LBL Brenta via POP,Mutualised TEAMPLUS,LBL Brenta via POP,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Smarter Start - Cloud,Mutualised TEAMPLUS,Smarter Start - Cloud,"Mutualisée (Team+, Team, Partners)",fallback_source_name
VEDIF (Veolia Eau IdF),Mutualised TEAMPLUS,VEDIF (Veolia Eau IdF),"Mutualisée (Team+, Team, Partners)",fallback_source_name
Hutchinson Mexico,Mutualised TEAMPLUS,Hutchinson Mexico,"Mutualisée (Team+, Team, Partners)",exact
Golding Capital Partners,Mutualised TEAMPLUS,GOLDING CAPITAL Partners,"Mutualisée (Team+, Team, Partners)",exact
Schueco via Visine Consulting,Mutualised TEAMPLUS,Schueco (via Visine Consulting),"Mutualisée (Team+, Team, Partners)",exact
Groupe HDN (Pascal Clame),Mutualised TEAMPLUS,Groupe HDN (Pascal Clame),"Mutualisée (Team+, Team, Partners)",fallback_source_name
Ximeng Liu,Mutualised TEAMPLUS,Ximeng Liu,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Thales DIS (ex-Gemalto) - USA,Mutualised TEAMPLUS,Thales DIS (ex-Gemalto) - USA,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Norman Souprayenmestry,Mutualised TEAMPLUS,Norman Souprayenmestry,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Tiofarma via Stanwick,Mutualised TEAMPLUS,Tiofarma via Stanwick,"Mutualisée (Team+, Team, Partners)",exact
Rolls Royce Civil  Aerospace Derby via Project 7,Mutualised TEAMPLUS,Rolls Royce Civil Aerospace Derby via Project 7,"Mutualisée (Team+, Team, Partners)",exact
Fluidra TeamPlus,Mutualised TEAMPLUS,Fluidra TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Genfar,Mutualised TEAMPLUS,Genfar,"Mutualisée (Team+, Team, Partners)",exact
RAPIDO Team+ via CUBIK,Mutualised TEAMPLUS,RAPIDO Team+ via CUBIK,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Boralex,Mutualised TEAMPLUS,Boralex,"Mutualisée (Team+, Team, Partners)",exact
Devillé ASC,Mutualised TEAMPLUS,Devillé ASC,"Mutualisée (Team+, Team, Partners)",exact
Lesaffre TeamPlus,Mutualised TEAMPLUS,Lesaffre TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Hendrix Genetics via Cubik Partners,Mutualised TEAMPLUS,Hendrix Genetics via Cubik Partners,"Mutualisée (Team+, Team, Partners)",exact
CYCLELIFE via CUBIK PARTNERS,Mutualised TEAMPLUS,CYCLELIFE via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
THE JACKSON LABORATORY,Mutualised TEAMPLUS,The Jackson Laboratory,"Mutualisée (Team+, Team, Partners)",exact
Thales Australia TeamPlus,Mutualised TEAMPLUS,Thales Australia TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
ELECTROPOLI ISIGNY via CUBIK PARTNERS,Mutualised TEAMPLUS,ELECTROPOLI ISIGNY via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
ACT TeamPlus,Mutualised TEAMPLUS,ACT TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
N+P SUBCOAL PRODUCTION FRM B.V. via EMS COGNITO,Mutualised TEAMPLUS,N+P SUBCOAL PRODUCTION FRM B.V. via EMS COGNITO,"Mutualisée (Team+, Team, Partners)",exact
Kwik Trip Inc.,Mutualised TEAMPLUS,Kwik Trip Inc.,"Mutualisée (Team+, Team, Partners)",fallback_source_name
KELVION via CUBIK PARTNERS,Mutualised TEAMPLUS,KELVION via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",exact
GUALAPACK via CONSIDI,Mutualised TEAMPLUS,Gualapack (via Considi),"Mutualisée (Team+, Team, Partners)",exact
Mahindra aerospace,Mutualised TEAMPLUS,Mahindra Aerospace,"Mutualisée (Team+, Team, Partners)",exact
WATES via PROJECT 7,Mutualised TEAMPLUS,WATES via PROJECT 7,"Mutualisée (Team+, Team, Partners)",exact
GCA Supply 4 industry,Mutualised TEAMPLUS,GCA Supply 4 industry,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Subsea 7 TeamPlus,Mutualised TEAMPLUS,Subsea 7 TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
TOYOTA OF NORTH AMERICA,Mutualised TEAMPLUS,Toyota of North America,"Mutualisée (Team+, Team, Partners)",exact
Edrington Distillers Ltd via EMS Cognito,Mutualised TEAMPLUS,Edrington Distillers Ltd via EMS Cognito,"Mutualisée (Team+, Team, Partners)",fallback_source_name
AVIAGROUP,Mutualised TEAMPLUS,Aviagroup,"Mutualisée (Team+, Team, Partners)",exact
STRAPHARM via CUBIK PARTNERS,Mutualised TEAMPLUS,STRAPHARM via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
O2 via CUBIK PARTNERS,Mutualised TEAMPLUS,O2 via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Stago,Mutualised TEAMPLUS,Stago,"Mutualisée (Team+, Team, Partners)",exact
Evidens de beauté Team+,Mutualised TEAMPLUS,Evidens de beauté Team+,"Mutualisée (Team+, Team, Partners)",fallback_source_name
VIASAT Connect,Mutualised TEAMPLUS,VIASAT Connect,"Mutualisée (Team+, Team, Partners)",fallback_source_name
CEVA Logistics TeamPlus,Mutualised TEAMPLUS,CEVA Logistics TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
The North British Distillery Company Ltd via EMS Cognito,Mutualised TEAMPLUS,The North British Distillery Company Ltd via EMS Cognito,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Voltalis,Mutualised TEAMPLUS,VOLTALIS,"Mutualisée (Team+, Team, Partners)",exact
Sansera India,Mutualised TEAMPLUS,Sansera India,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Groupe Boulle,Mutualised TEAMPLUS,Groupe Boulle,"Mutualisée (Team+, Team, Partners)",exact
DAIKIN,Mutualised TEAMPLUS,DAIKIN,"Mutualisée (Team+, Team, Partners)",exact
Getelec,Mutualised TEAMPLUS,Getelec,"Mutualisée (Team+, Team, Partners)",exact
NorthStar Nuclear Medicine,Mutualised TEAMPLUS,NorthStar Nuclear Medicine,"Mutualisée (Team+, Team, Partners)",exact
Kroger TeamPlus,Mutualised TEAMPLUS,Kroger TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
BIJOU via CUBIK PARTNERS,Mutualised TEAMPLUS,BIJOU via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
OFFICINA STELLARE via CONSIDI,Mutualised TEAMPLUS,OFFICINA STELLARE via CONSIDI,"Mutualisée (Team+, Team, Partners)",fallback_source_name
SPINEART via CUBIK PARTNERS,Mutualised TEAMPLUS,SPINEART via CUBIK PARTNERS,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Spie Batignolles Team +,Mutualised TEAMPLUS,Spie Batignolles Team +,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Storylane,Mutualised TEAMPLUS,StoryLane,"Mutualisée (Team+, Team, Partners)",exact
Movella Technologies (ex Xsens),Mutualised TEAMPLUS,Movella Technologies (ex Xsens),"Mutualisée (Team+, Team, Partners)",fallback_source_name
Lookupspace,Mutualised TEAMPLUS,Lookupspace,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Bouygues Construction,Mutualised TEAMPLUS,Bouygues Construction,"Mutualisée (Team+, Team, Partners)",exact
Mars Space Ltd,Mutualised TEAMPLUS,Mars Space Ltd,"Mutualisée (Team+, Team, Partners)",exact
Terega - TeamPlus,Mutualised TEAMPLUS,Terega - TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
GXO Logistics TeamPlus,Mutualised TEAMPLUS,GXO Logistics TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Capgemini TeamPlus,Mutualised TEAMPLUS,Capgemini TeamPlus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
AISG,Mutualised TEAMPLUS,AISG,"Mutualisée (Team+, Team, Partners)",exact
TAURA via STANWICK,Mutualised TEAMPLUS,Taura via Stanwick,"Mutualisée (Team+, Team, Partners)",exact
NSE via STANWICK,Mutualised TEAMPLUS,NSE via Stanwick,"Mutualisée (Team+, Team, Partners)",exact
Amneal Pharmaceuticals - India,Mutualised TEAMPLUS,Amneal Pharmaceuticals - India,"Mutualisée (Team+, Team, Partners)",fallback_source_name
CODECHAMP via LA GROW BOX,Mutualised TEAMPLUS,CODECHAMP via LA GROW BOX,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Kreios Space,Mutualised TEAMPLUS,Kreios Space,"Mutualisée (Team+, Team, Partners)",exact
Laboratorios Silanes,Mutualised TEAMPLUS,Laboratorios Silanes,"Mutualisée (Team+, Team, Partners)",exact
Club Car,Mutualised TEAMPLUS,CLUB CAR,"Mutualisée (Team+, Team, Partners)",exact
Kaizen Reliability Ltd,Mutualised TEAMPLUS,Kaizen Reliability Ltd,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Enedis,Mutualised TEAM,Enedis,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Orsted Telte A/S,Mutualised TEAM,Orsted Telte A/S,"Mutualisée (Team+, Team, Partners)",exact
Wahl Clipper,Mutualised TEAM,Wahl Clipper,"Mutualisée (Team+, Team, Partners)",exact
Mesea,Mutualised TEAM,Mesea,"Mutualisée (Team+, Team, Partners)",exact
Pop Concept,Mutualised TEAM,Pop Concept,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Rockwool,Mutualised TEAM,Rockwool,"Mutualisée (Team+, Team, Partners)",exact
Daunat,Mutualised TEAM,Daunat,"Mutualisée (Team+, Team, Partners)",exact
Richemont MUT,Mutualised TEAM,Richemont MUT,"Mutualisée (Team+, Team, Partners)",exact
Olimpia Splendid,Mutualised TEAM,Olimpia Splendid,"Mutualisée (Team+, Team, Partners)",exact
Kxiop,Mutualised TEAM,Kxiop,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Souriau,Mutualised TEAM,Souriau,"Mutualisée (Team+, Team, Partners)",exact
Bruker Biospin,Mutualised TEAM,Bruker Biospin,"Mutualisée (Team+, Team, Partners)",exact
Demathieu Bard,Mutualised TEAM,Demathieu Bard,"Mutualisée (Team+, Team, Partners)",exact
Monique Ranou SCO,Mutualised TEAM,Monique Ranou SCO,"Mutualisée (Team+, Team, Partners)",exact
Fitness Boutique - NetQuattro,Mutualised TEAM,Fitness Boutique - NetQuattro,"Mutualisée (Team+, Team, Partners)",exact
C.MENDES - SAINT LAURENT,Mutualised TEAM,C.MENDES - SAINT LAURENT,"Mutualisée (Team+, Team, Partners)",exact
Keolis Lyon,Mutualised TEAM,Keolis Lyon,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Pella Team,Mutualised TEAM,Pella Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
University of Central Arkansas,Mutualised TEAM,University of Central Arkansas,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Longchamp,Mutualised TEAM,Longchamp,"Mutualisée (Team+, Team, Partners)",fallback_source_name
VCF Normandie Centre,Mutualised TEAM,VCF Normandie Centre,"Mutualisée (Team+, Team, Partners)",fallback_source_name
ESCP Europe,Mutualised TEAM,ESCP Europe,"Mutualisée (Team+, Team, Partners)",fallback_source_name
KEOLIS DIJON,Mutualised TEAM,Keolis Dijon,"Mutualisée (Team+, Team, Partners)",exact
LNA Santé,Mutualised TEAM,LNA Santé,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Michigan Lean Consortium,Mutualised TEAM,Michigan Lean Consortium,"Mutualisée (Team+, Team, Partners)",fallback_source_name
TABARI CROISSANCE,Mutualised TEAM,TABARI CROISSANCE,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Wilo Salmson France,Mutualised TEAM,Wilo Salmson France,"Mutualisée (Team+, Team, Partners)",exact
RIT,Mutualised TEAM,RIT,"Mutualisée (Team+, Team, Partners)",fallback_source_name
SKF - Sweden,Mutualised TEAM,SKF - Sweden,"Mutualisée (Team+, Team, Partners)",fallback_source_name
makesense,Mutualised TEAM,makesense,"Mutualisée (Team+, Team, Partners)",fallback_source_name
RATP - Bus,Mutualised TEAM,RATP - Bus,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Capacités,Mutualised TEAM,Capacités,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Publicis Sapient,Mutualised TEAM,Publicis Sapient,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Digital Tango,Mutualised TEAM,Digital Tango,"Mutualisée (Team+, Team, Partners)",fallback_source_name
BearingPoint - Team,Mutualised TEAM,BearingPoint - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
TMAC,Mutualised TEAM,TMAC,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Serac Group,Mutualised TEAM,Serac Group,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Cubik Team,Mutualised TEAM,Cubik Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Life & Mobility,Mutualised TEAM,Life & Mobility,"Mutualisée (Team+, Team, Partners)",exact
B2WISE TEAM,Mutualised TEAM,B2WISE TEAM,"Mutualisée (Team+, Team, Partners)",fallback_source_name
TnP consultants - Team,Mutualised TEAM,TnP consultants - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
MR4P Team,Mutualised TEAM,MR4P Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Newmind,Mutualised TEAM,Newmind,"Mutualisée (Team+, Team, Partners)",fallback_source_name
STULZ S.p.A.,Mutualised TEAM,STULZ S.p.A.,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Inspearit - Team,Mutualised TEAM,Inspearit - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Murli - TEAM,Mutualised TEAM,Murli - TEAM,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Tipiak,Mutualised TEAM,Tipiak,"Mutualisée (Team+, Team, Partners)",exact
Moog Aircraft Team (closed 210315),Mutualised TEAM,Moog Aircraft Team (closed 210315),"Mutualisée (Team+, Team, Partners)",fallback_source_name
Brigitte Evertz,Mutualised TEAM,Brigitte Evertz,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Hiram Finance,Mutualised TEAM,Hiram Finance,"Mutualisée (Team+, Team, Partners)",fallback_source_name
RATP - CML / SC / RCD,Mutualised TEAM,RATP - CML / SC / RCD,"Mutualisée (Team+, Team, Partners)",fallback_source_name
RIVACOLD,Mutualised TEAM,RIVACOLD,"Mutualisée (Team+, Team, Partners)",exact
Bystronic Laser AG,Mutualised TEAM,Bystronic Laser AG,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Moog Corp Team (closed 210315),Mutualised TEAM,Moog Corp Team (closed 210315),"Mutualisée (Team+, Team, Partners)",fallback_source_name
Fender Partners,Mutualised TEAM,Fender Partners,"Mutualisée (Team+, Team, Partners)",fallback_source_name
La Poste DCFG - Team,Mutualised TEAM,La Poste DCFG - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Orange Polska,Mutualised TEAM,Orange Polska,"Mutualisée (Team+, Team, Partners)",fallback_source_name
ANTAI - Team via capgemini,Mutualised TEAM,ANTAI - Team via capgemini,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Ministère de l'Intérieur DSR - Team via Capgemini,Mutualised TEAM,Ministère de l'Intérieur DSR - Team via Capgemini,"Mutualisée (Team+, Team, Partners)",fallback_source_name
EMS Cognito,Mutualised TEAM,EMS Cognito,"Mutualisée (Team+, Team, Partners)",fallback_source_name
PiveteauBois,Mutualised TEAM,PiveteauBois,"Mutualisée (Team+, Team, Partners)",exact
EliteOrga - Team,Mutualised TEAM,EliteOrga - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Radiall,Mutualised TEAM,radiall,"Mutualisée (Team+, Team, Partners)",exact
Fenetrea,Mutualised TEAM,Fenetrea,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Sofrilog Ouest,Mutualised TEAM,Sofrilog Ouest,"Mutualisée (Team+, Team, Partners)",exact
Soft Method Team,Mutualised TEAM,Soft Method Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Entuziasmo - team,Mutualised TEAM,Entuziasmo - team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
UGAP via Capgemini,Mutualised TEAM,UGAP via Capgemini,"Mutualisée (Team+, Team, Partners)",exact
Chalmers University of Technology,Mutualised TEAM,Chalmers University of Technology,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Coeff - Team Partner,Mutualised TEAM,Coeff - Team Partner,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Project 7 Consulting ( Team - P4 Training),Mutualised TEAM,Project 7 Consulting ( Team - P4 Training),"Mutualisée (Team+, Team, Partners)",fallback_source_name
RATP Départ M2E - Team,Mutualised TEAM,RATP Départ M2E - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Intech,Mutualised TEAM,Intech,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Lean Analytics Org,Mutualised TEAM,Lean Analytics Org,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Ernst & Young - Team,Mutualised TEAM,Ernst & Young - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Airnov - Team,Mutualised TEAM,Airnov - Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
The Country and Land Associations (by EMS Cognito),Mutualised TEAM,The Country and Land Associations (by EMS Cognito),"Mutualisée (Team+, Team, Partners)",fallback_source_name
VITEC IMAGING SOLUTIONS,Mutualised TEAM,Vitec Imaging Solutions,"Mutualisée (Team+, Team, Partners)",exact
Open Source Consulting Inc. PARTNER,Mutualised TEAM,Open Source Consulting Inc. PARTNER,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Bien-Air Surgery SA,Mutualised TEAM,Bien-Air Surgery SA,"Mutualisée (Team+, Team, Partners)",exact
AZ Lean Consulting,Mutualised TEAM,AZ Lean Consulting,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Beckman Life Sciences Team,Mutualised TEAM,Beckman Life Sciences Team,"Mutualisée (Team+, Team, Partners)",fallback_source_name
InnSpire,Mutualised TEAM,InnSpire,"Mutualisée (Team+, Team, Partners)",fallback_source_name
La Poste DTN - Team,Mutualised TEAM,La Poste DTN - Team,"Mutualisée (Team+, Team, Partners)",exact
Berkenhoff,Mutualised TEAM,Berkenhoff,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Sartorius,Mutualised TEAM,Sartorius,"Mutualisée (Team+, Team, Partners)",exact
Qwantiq - Partner,Mutualised TEAM,Qwantiq - Partner,"Mutualisée (Team+, Team, Partners)",fallback_source_name
SAFe Ontario CoP,Mutualised TEAM,SAFe Ontario CoP,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Productivity People Ltd,Mutualised TEAM,Productivity People Ltd,"Mutualisée (Team+, Team, Partners)",fallback_source_name
Hogeschool Windesheim,Mutualised TEAM,Hogeschool Windesheim,"Mutualisée (Team+, Team, Partners)",fallback_source_name
